A;K;Linf
10.815;0.88;3.881
7.0333;0.51;4.355
7.8527;0.6;4.133
9.1371;0.63;4.58
NaN;NaN;NaN
0.92553;0.048;6.089
1.2841;0.05;8.11
1.4068;0.0604;7.355
0.9366;0.044;6.722
0.94161;0.05;5.947
NaN;NaN;NaN
NaN;NaN;NaN
8.6543;0.342;7.991
NaN;NaN;NaN
NaN;NaN;NaN
12.702;0.473;8.48
17.453;0.478;11.53
9.2582;0.365;8.01
17.015;0.42;12.793
25.498;0.33;24.4
31.872;0.55;18.3
34.152;0.68;15.86
11.389;0.24;14.986
9.9798;0.312;10.101
5.1836;0.17;9.629
6.3601;0.21;9.564
1.8957;0.133;4.501
17.698;0.46;12.15
17.755;0.74;7.577
1.8265;0.014;41.2
2.2525;0.181;3.93
3.9177;0.197;6.28
4.7018;0.11;13.498
6.8593;0.28;7.736
14.076;0.25;17.78
9.4829;0.35;8.556
12.991;0.39;10.519
7.14;0.25;9.019
8.7097;0.38;7.238
9.7808;0.43;7.183
9.688;0.38;8.051
13.929;0.49;8.977
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
4.7817;0.2;7.55
3.0501;0.14;6.88
5.396;0.3;5.68
6.5065;0.27;7.61
9.9621;0.29;10.848
14.926;0.59;7.989
NaN;NaN;NaN
19.226;0.497;12.216
NaN;NaN;NaN
10.093;0.26;12.259
9.3835;0.39;7.598
7.9662;0.31;8.115
1.0912;0.04;8.615
1.5168;0.06;7.983
1.5168;0.06;7.983
1.4177;0.05;8.954
2.1299;0.2;3.363
1.0912;0.04;8.615
2.4732;0.11;7.1
2.2139;0.065;10.756
10.241;0.35;9.24
23.632;1.01;7.389
10.682;0.167;20.2
9.7356;0.168;18.3
NaN;NaN;NaN
4.6669;0.157;9.387
5.2781;0.172;9.6905
3.3622;0.064;16.59
6.3175;0.28;7.125
27.208;0.3;28.64
47.816;0.75;20.133
NaN;NaN;NaN
8.8398;0.189;14.77
5.9918;0.146;12.96
7.9081;0.17;14.69
5.3831;0.108;15.74
9.883;0.191;16.34
8.3812;0.199;13.3
11.318;0.259;13.8
NaN;NaN;NaN
1.8895;0.06;9.945
6.8441;0.32;6.754
NaN;NaN;NaN
10.559;0.242;13.778
15.829;0.339;14.745
5.1016;0.218;7.39
6.5018;0.232;8.85
12.628;0.21;18.99
1.8538;0.06;9.757
6.688;0.48;4.4
6.5487;0.47;4.4
2.275;0.11;6.531
1.4681;0.03;15.454
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
3.9204;0.37;3.346
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
17.733;0.35;16
14.635;0.436;10.6
NaN;0.3;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
17.189;0.92;5.9
0.82808;0.1;2.615
11.279;0.51;6.984
12.435;0.559;7.025
10.959;0.48;7.21
23.337;0.56;13.16
25.964;0.53;15.47
3.351;0.079;13.395
2.3697;0.092;8.134
2.4739;0.044;17.755
2.3615;0.062;12.028
2.29;0.079;9.154
3.2629;0.115;8.96
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
18.427;0.46;12.65
12.331;1.1;3.54
NaN;NaN;NaN
NaN;0.822;NaN
3.7808;0.149;8.013
NaN;NaN;NaN
NaN;0.44;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
2.1495;0.217;3.128
NaN;NaN;NaN
NaN;NaN;NaN
NaN;0.46;NaN
1.3173;0.16;2.6
1.9205;0.21;2.888
1.8531;0.22;2.66
2.4136;0.13;5.863
NaN;NaN;NaN
0.89015;0.03;9.37
NaN;NaN;NaN
5.7095;0.3;6.01
10.032;0.2523;12.557
5.8314;0.1325;13.898
4.5448;0.176;8.1546
3.1068;0.239;4.105
3.835;0.261;4.64
4.761;0.22;6.834
NaN;NaN;NaN
6.4993;0.4;5.131
4.2399;0.17;7.876
1.156;0.06;6.084
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
58.885;2.08;8.94
19.286;1.01;6.03
8.8287;0.41;6.8
15.884;0.57;8.8
9.8334;0.33;9.41
3.2858;0.21;4.941
4.8056;0.22;6.898
4.0139;0.28;4.527
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;11.147
NaN;NaN;8.84
NaN;NaN;7.39
3.5782;0.168;6.726
14.059;0.552;8.043
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
10.967;1.17;2.96
3.5156;0.14;7.93
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
1.7373;0.0526;10.43
1.7373;0.0526;10.43
1.7373;0.0526;10.43
NaN;NaN;NaN
NaN;NaN;NaN
19.099;0.7125;8.465
15.709;2.12;2.34
14.658;1.76;2.63
