F_name;Linf;K;A
Lethrinus mahsena;31.533;0.23833;3.3454
Lethrinus microdon;34;0.625;9.2828
Lethrinus miniatus;47.45;0.435;8.2958
Lethrinus nebulosus;87;0.09;2.7044
Lethrinus olivaceus;63;0.55;12.974
Leviprora inops;54.05;0.19;3.9952
Limanda aspera;44.925;0.13225;2.4208
Limanda limanda;31.629;0.35221;4.9552
Limanda punctatissima;58.3;0.1;2.2256
Limanda sakhalinensis;37.3;0.14;2.229
Lithognathus mormyrus;36.66;0.2292;3.6021
Liza aurata;52.153;0.26006;5.3238
Liza haematocheila;82.6;0.1835;5.3035
Liza ramada;41.02;0.192;3.2828
Liza saliens;28.05;0.27625;3.5518
Lophius americanus;167;0.084;4.1163
Lophius budegassa;69.214;0.11457;2.9001
Lophius piscatorius;136.86;0.17014;7.1813
Lopholatilus chamaeleonticeps;104.07;0.12573;4.3214
Lopholatilus villarii;81.4;0.10667;3.0492
Lutjanus adetii;25.4;0.321;3.8311
Lutjanus alexandrei;31;0.24;3.326
Lutjanus analis;86.45;0.1565;4.6804
Lutjanus campechanus;91.9;0.181;5.667
Lutjanus carponotatus;31.4;0.412;5.7648
Lutjanus ehrenbergii;23.15;0.915;10.187
Lutjanus erythropterus;59.467;0.414;9.3518
Lutjanus fulviflamma;22.95;0.95;10.508
Lutjanus fulvus;26.35;0.24;2.9443
Lutjanus gibbus;33.25;0.495;7.23
Lutjanus griseus;68.55;0.16;4.0208
Lutjanus malabaricus;83.39;0.1837;5.3473
Lutjanus purpureus;96.7;0.096;3.1227
Lutjanus quinquelineatus;19.8;0.465;4.6041
Lutjanus sebae;78.438;0.17012;4.7299
Lutjanus synagris;54.52;0.2064;4.3684
Lutjanus vitta;26.15;0.61683;7.5242
Lycengraulis grossidens;16.194;0.40943;3.4865
Lycodes albolineatus;77;0.2;5.4839
Macrodon ancylodon;50.659;0.17;3.4051
Macrodon atricauda;37.275;0.8025;12.77
Macruronus magellanicus;88.5;0.229;6.97
Macruronus novaezelandiae;95;0.2295;7.3666
Malacocottus zonurus;47.3;0.12;2.2831
Mallotus villosus;21.5;0.44767;4.7149
Maurolicus stehmanni;27;1.628;20.341
Megalocottus platycephalus;41.75;0.2;3.4651
Megalops atlanticus;202;0.09375;5.2988
Melanogrammus aeglefinus;70.472;0.28642;7.3487
Merlangius merlangus;42.678;0.38092;6.7093
Merluccius australis;99.017;0.2475;8.195
Merluccius bilinearis;43.277;0.45569;8.1106
Merluccius capensis;173;0.066;3.321
Merluccius gayi gayi;106;0.1;3.4847
Merluccius gayi peruanus;67.9;0.19;4.7408
Merluccius hubbsi;68.7;0.218;5.4874
Merluccius merluccius;80.4;0.15128;4.2847
Merluccius paradoxus;87.35;0.216;6.5102
Merluccius senegalensis;85.2;0.171;5.0584
Microchirus theophila;34.2;0.2885;4.3038
Microchirus variegatus;19.1;0.382;3.6815
Micromesistius poutassou;35.35;0.33413;5.1097
Micropogonias furnieri;62.125;0.1685;3.9332
Micropogonias undulatus;18.2;1.452;13.496
Microstomus achne;61.95;0.095;2.2128
Microstomus kitt;27.95;0.38;4.8726
Monocentris reedi;11.4;0.202;1.322
Monochirus hispidus;13.05;0.3945;2.8572
Moolgarda seheli;56.8;0.258;5.6308
Mora moro;67.5;0.13;3.2293
Morone americana;43.5;0.102;1.8225
Mugil cephalus;54.057;0.35457;7.4565
Mugil liza;64.9;0.2725;6.5727
Mullus barbatus barbatus;23.627;0.399;4.5104
Mullus barbatus ponticus;21.3;0.231;2.416
Mullus surmuletus;29.147;0.36067;4.7724
Muraena helena;162.7;0.089;4.2768
Mycteroperca bonaci;120;0.16;6.1192
Mycteroperca microlepis;116.33;0.148;5.5301
Mycteroperca olfax;110;0.11;3.9412
Mycteroperca phenax;56;0.166;3.5846
Mycteroperca rosacea;108;0.0924;3.2654
Mycteroperca rubra;56.7;0.329;7.1709
Myctophum nitidulum;10;0.42;2.4914
Myctophum punctatum;9.75;0.243;1.4143
Myoxocephalus brandtii;32.15;0.559;7.9614
Myoxocephalus jaok;69.9;0.18;4.5901
Myoxocephalus polyacanthocephalus;84.85;0.1375;4.0549
Myoxocephalus quadricornis;33.1;0.24;3.4936
Myoxocephalus scorpius;24.013;0.45957;5.2587
Myoxocephalus stelleri;44.25;0.35;6.3342
Myripristis amaena;19.4;0.219;2.1354
Nannobrachium regale;26.5;0.201;2.4764
Naso annulatus;62.6;0.213;5.0004
Naso brevirostris;30.4;0.402;5.49
Naso hexacanthus;52.7;0.221;4.5598
Naso tuberosus;45.9;0.428;7.9615
Naso unicornis;38.6;0.489;7.988
Naso vlamingii;37.9;0.264;4.2538
Naucrates ductor;37.9;3.864;62.26
Nelusetta ayraud;88.5;0.16;4.8699
Nemipterus bathybius;27.5;0.34;4.307
Nemipterus japonicus;32.5;0.5935;8.5217
Nemipterus randalli;32.98;0.5205;7.5561
Nemipterus virgatus;36.5;0.38129;5.9726
Nemipterus zysron;32.5;0.5395;7.7463
Neogobius melanostomus;13.975;0.6425;4.8987
Neoscorpis lithophilus;41.3;0.222;3.8151
Netuma thalassina;84.8;0.199;5.866
Nezumia aequalis;8.2;0.1635;0.83574
Nezumia bairdii;6.6;0.276;1.1988
Nezumia sclerorhynchus;12.393;0.12375;0.8622
Nibea albiflora;52.9;0.262;5.4211
Notolabrus parilus;37.25;0.175;2.7834
Notolychnus valdiviae;2.8;1.411;3.2217
Notothenia coriiceps;48.45;0.11;2.1309
Oblada melanura;33.678;0.22533;3.3229
Ocyurus chrysurus;53.742;0.2725;5.7055
Odax pullus;48.75;0.3735;7.2688
Oedalechilus labeo;25.9;0.192;2.3252
Oligocottus maculosus;10.2;0.208;1.2523
Ophthalmolepis lineolata;31.2;0.275;3.8295
Opisthonema libertate;20.667;0.63067;6.4483
Opisthonema oglinum;21.6;0.38;4.0162
Opsanus beta;29.75;0.545;7.3232
Opsanus tau;37.9;0.16;2.578
Osmerus dentex;32.5;0.224;3.2163
Osmerus mordax;32.5;0.224;3.2163
Pagellus acarne;29.783;0.27017;3.6333
Pagellus bellottii;39.8;0.185;3.0923
Pagellus bogaraveo;53.482;0.14791;3.0856
Pagellus erythrinus;35.715;0.20723;3.1936
Pagellus natalensis;45.5;0.2;3.696
Pagothenia borchgrevinki;24.5;0.14;1.6263
Pagrus auratus;56.967;0.16533;3.6163
Pagrus major;61.15;0.1955;4.5096
Pagrus pagrus;59.9;0.167;3.793
Pampus argenteus;34.833;0.35083;5.3063
Parajulis poecilepterus;22.3;0.1875;2.0297
Paralabrax clathratus;64;0.103;2.4585
Paralabrax maculatofasciatus;30;0.296;4.0024
Paralichthys californicus;142.5;0.09;3.9156
Paralichthys lethostigma;45.375;0.74475;13.735
Paranthias furcifer;37;0.22;3.4815
Parapercis colias;37.817;0.25;4.0216
Parapristipoma trilineatum;34.7;0.29233;4.4088
Parastromateus niger;34.1;0.316;4.7038
Parazanclistius hutchinsi;29.4;0.39;5.1942
Paristiopterus gallipavo;58.4;0.505;11.254
Parma microlepis;13.75;0.355;2.6739
Parupeneus barberinus;32.75;0.2155;3.1121
Parupeneus forsskali;30;0.38;5.1383
Parupeneus heptacanthus;44.4;0.208;3.7739
Pegusa impar;26.7;0.54025;6.6938
Pegusa lascaris;27.1;0.415;5.1996
Pelates octolineatus;24.9;0.435;5.1148
Pellona ditchela;24;0.88;10.065
Pentanemus quinquarius;34;1.081;16.056
Peprilus triacanthus;18.3;0.8;7.4665
Peristedion cataphractum;38.4;0.182;2.9615
Petrus rupestris;138;0.075;3.1854
Pholis gunnellus;22.1;0.2395;2.5751
Phycis blennoides;64.125;0.2137;5.1082
Phycis phycis;67.15;0.195;4.8251
Platichthys flesus;39.355;0.42173;6.9899
Platycephalus bassensis;35.18;0.278;4.236
Platycephalus grandispinis;25.9;0.58;7.0242
Platycephalus indicus;51.157;0.52375;10.568
Platycephalus laevigatus;45.65;0.285;5.2798
Platycephalus speculator;52.456;0.35911;7.3835
Platycephalus westraliae;42.45;0.615;10.789
Plectorhinchus sordidus;29.25;0.91;12.073
Plectropomus leopardus;52.2;0.354;7.2518
Plectropomus maculatus;70.3;0.206;5.2756
Pleuragramma antarctica;23.9;0.19675;2.2434
Pleurogrammus monopterygius;43.265;0.54545;9.7063
Pleuronectes platessa;51.667;0.16717;3.3982
Pleuronectes quadrituberculatus;46.533;0.159;2.9882
Plicofollis dussumieri;103;0.167;5.6956
Plicofollis tenuispinis;82;0.211;6.065
Pollachius virens;124;0.14;5.4876
Polydactylus multiradiatus;36.8;0.157;2.4744
Polymixia yuri;21.3;0.197;2.0604
Polyprion oxygeneios;124.8;0.16003;6.3029
Polysteganus undulosus;98.4;0.181;5.9651
Pomacanthus imperator;41.2;0.067;1.1493
Pomacanthus maculosus;31;0.4;5.5434
Pomacentrus moluccensis;4.7;0.528;1.7779
Pomacentrus wardi;7.2;0.513;2.3785
Pomadasys incisus;31.5;0.217;3.0436
Pomadasys maculatus;70.5;0.16;4.1063
Pomadasys striatus;18;0.3;2.7655
Pomatomus saltatrix;91;0.20633;6.4127
Pomatoschistus minutus;8.15;1.154;5.8717
Pontinus kuhlii;48.167;0.10383;2.0026
Poromitra crassiceps;18;0.11;1.014
Priacanthus macracanthus;55.1;0.1005;2.144
Prionotus albirostris;19.1;1.021;9.8399
Prionotus evolans;34.5;0.29;4.3547
